Model,Scenario,Region,Variable,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
GLUCOSE,1.75DS,World,Emissions|CO2|Energy|Supply,Gt CO2e/yr,29.762546342519144,29.988403793763233,30.214260960409963,30.44003768673209,30.567157241895835,30.69428162654404,30.6942356819657,30.60490053251177,30.51548949583769,30.426074134431765,30.336485149011487,29.766135831687684,29.195582544660937,28.4743581798363,27.940708068695166,27.849509891255384,27.786453569716535,27.748717242938234,27.469926511821534,27.035730111789544,26.47195280940889,26.320925982284187,25.82786730834929,25.276467177392078,24.729694741062666,24.180875520241614,23.63032829795628,23.07359353096598,22.52069167140942,21.96712893059479,21.407071813486745,20.741783565042976,20.079707289513024,19.414785415807664,18.731004364309587,18.043539039590296,17.354561974237622,16.660989354037618,15.969865747291506,15.277975812500898,14.584882006478775,14.043992006478778,13.50310200647878,12.962282006478777,12.421392006478774,11.880502006478778,11.33968200647878,10.79879200647878,10.25790200647878,9.71708200647878,9.176192006478777
GLUCOSE,1.75DS,World,Emissions|CO2|Industrial Processes,Gt CO2e/yr,1.104123893756308,1.1139015426638004,1.1236788984139665,1.1334551391726995,1.1421335129781005,1.1519054710131247,1.1616772409535068,1.1714480065687751,1.1812186734983507,1.1909883314723833,1.2007579277006444,1.1895915264072343,1.179535293811265,1.1694735924788153,1.1594073401944862,1.1493357933241868,1.1392598595241057,1.1281696551797626,1.1180983407568093,1.1080222802900894,1.0979419766256868,1.0878570809816552,1.077767264766586,1.067673025841418,1.0566631454142703,1.0465736440794993,1.0364801265625152,1.0263819185488348,1.0162798316896535,1.0061731927930986,0.9960627909175138,0.985127560763459,0.9750215906151972,0.9649112443783575,0.9547971967561842,0.9446788996788691,0.9345570241510462,0.9236839027920434,0.9135662242564858,0.9034443927063512,0.8933190866720727,0.8933190866720727,0.8933190866720728,0.8933190866720728,0.8933190866720727,0.8933190866720728,0.8933190866720727,0.8933190866720727,0.8933190866720728,0.8933190866720728,0.8933190866720726
GLUCOSE,1.75DS,World,Final Energy|Industry|Solids|Coal,EJ/yr,8953.05119382631,9035.904606432401,9118.736240219534,9201.546701224834,9284.337150344618,9367.108142687808,9449.86368886554,9532.598490837432,9615.320662229717,9698.023976835451,9780.716373945248,9721.475852435971,9662.210127088887,9602.920039164432,9543.606417427376,9484.270408583647,9424.914008958127,9365.53442654038,9306.134992401883,9246.713581370746,9187.276969785324,9127.821634428417,9068.345006649522,9008.85298830151,8949.34381133898,8889.818821322933,8830.279757245968,8770.721697194127,8711.15255855958,8651.565373635196,8591.967940124798,8532.35541615279,8472.729184748312,8413.090809372383,8353.439399335617,8293.776627038651,8234.103549136342,8174.4155621868695,8114.720021201337,8055.010172884334,7995.293327517133,7995.295639437374,7995.295639437374,7995.295639437378,7995.295639437374,7995.295639437374,7995.295639437374,7995.295639437374,7995.295639437374,7995.295639437374,7995.295639437374
GLUCOSE,1.75DS,World,Final Energy|Other Sector|Solids|Coal,EJ/yr,1848.7430903958862,1871.9563327455432,1895.7647864375,1918.9780287871572,1942.7864824791138,1969.8099580766614,1999.241701015805,2028.331440422716,2057.7631833618593,2086.8529227687704,2116.879877050213,2066.8276061740053,2017.6354787413745,1971.202664158253,1924.5534774147736,1879.590044189888,1835.8836415630276,1792.8617712651053,1750.68680034734,1708.7578123188973,1668.7258280373385,1628.088952025244,1588.493777959857,1549.5011912654877,1510.741897479535,1471.8248774188792,1433.640375589585,1395.7436764244715,1357.8489953214385,1319.5523632482466,1282.2248775584587,1243.8346427092856,1205.7435212090431,1167.0085808188303,1143.4347773067416,1128.182726417962,1113.662580353852,1099.563268919714,1085.8119167628374,1072.1214391618282,1059.087898433107,1059.0878984331068,1059.087898433107,1059.087898433107,1059.0878984331068,1059.087898433107,1059.087898433107,1059.0878984331073,1059.0878984331073,1059.0878984331073,1059.0878984331073
GLUCOSE,1.75DS,World,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,9.508450896000001,12.452841071999998,15.401425536000003,18.345815712,21.290205888,20.879165664000006,18.187361579107048,15.327367221739369,13.500029681186966,11.658978001527817,9.807883659607512,5.855086630432013,2.3900622924227584,3.9473986246723585,1.7432095317604532,3.6970662660806184,14.0260654018716,8.690603403894592,6.6209549042580855,3.629529033435504,3.629529033435504,4.005606692285303,4.159180197115175,4.005606692285303,4.00560669228531,3.8711928989708744,4.005606692285303,3.287827664709602,2.6550886859915233,2.3562239486830574,1.9727366424063137,0.41029637666353913,,,,,,,,,,,,,,,,,,,
GLUCOSE,1.75DS,World,Final Energy|Solids|Coal,EJ/yr,10811.302735118194,10920.313780249942,11029.902452193028,11138.870545723992,11248.413838711731,11357.79726642847,11467.292751460453,11576.257298481885,11686.583875272769,11796.535877605746,11907.404134655068,11794.158545240414,11682.235668122677,11578.07010194736,11469.903104373909,11367.557519039618,11274.823715923027,11167.086801209378,11063.442747653477,10959.100922723077,10859.632326856095,10759.916193145946,10660.997964806495,10562.359786259285,10464.0913155108,10365.514891640782,10267.925739527838,10169.753201283307,10071.656642567012,9973.473960832125,9876.165554325664,9776.60035523874,9678.472705957356,9580.099390191212,9496.874176642357,9421.959353456616,9347.766129490192,9273.978831106586,9200.531937964171,9127.131612046158,9054.38122595024,9054.38353787048,9054.383537870479,9054.383537870483,9054.38353787048,9054.383537870483,9054.38353787048,9054.38353787048,9054.38353787048,9054.38353787048,9054.38353787048
GLUCOSE,1.75DS,World,Final Energy|Transportation|Electricity|Rail,EJ/yr,0.4980986999999999,0.5048676900000001,0.5131615999999999,0.5196588400000001,0.5260256400000001,0.53388475,0.6318569600000001,0.64200501,0.6503672599999999,0.75331179,0.7638108000000001,0.7810632000000001,0.7983156,0.8139996000000002,1.0398491999999997,1.0602383999999998,1.0837643999999997,1.1088588,1.1339532000000003,1.1590476,2.360442,2.4137676000000003,2.4670932000000003,2.5204188000000007,2.5737444,2.62707,2.7164688,2.8058676,2.8952664,2.9846652,3.0740640000000012,3.1634628000000014,3.2528616,3.3422604,3.4316592000000004,3.521058,3.6104568,3.6998556,3.7892544,3.878653200000001,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836,3.9664836
GLUCOSE,1.75DS,World,Final Energy|Transportation|Electricity|Road,EJ/yr,,,,,,,,,,,,,,,,,,,,,,,,0.040806438534121546,0.8514154403941623,1.6579959948418919,2.6501888444279578,3.65434681151404,4.548873921600104,5.542577300890092,6.522223949267688,7.4821074941537775,8.436558629434863,9.377343207422529,10.314387898224814,11.242648888226789,14.348905539553883,14.535812512194697,14.570026644870877,14.600357457547068,15.431236126828756,14.774628060451588,14.626804950223244,14.626804950223244,14.626804950223237,14.626804950223242,15.277596834929303,15.43123612682876,17.31491951372933,17.314919513729333,18.1061505439985
GLUCOSE,1.75DS,World,Final Energy|Transportation|Fossils|Rail,EJ/yr,3.395643999999999,3.4692490000000005,3.542854,3.6164589999999994,3.694971,3.7636690000000006,3.577203,3.650807999999999,3.729319999999999,3.5134120000000006,3.58211,3.660621999999999,3.7391340000000017,3.822553000000001,3.2484340000000005,3.322039,3.3956440000000003,3.4643420000000003,3.5379469999999995,3.606645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLUCOSE,1.75DS,World,Final Energy|Transportation|Fossils|Road,EJ/yr,62.183267999999984,63.537844356,64.864886254,66.173029244,67.45326145599999,68.70558887500003,69.597018918,70.45268298769388,71.29521800408622,72.11594636926664,72.93539715,73.52665145084335,74.12339662000001,74.673140605,75.20360652000001,75.71191145,75.859670656,75.994005234,76.11491518400001,76.222400506,76.31646119999999,76.51893018000003,76.70580540000002,76.73633421694026,74.09600825835058,71.45398376416856,68.2822038134224,65.05121005767622,62.18042049593007,58.94960185229214,55.74932592426509,52.47550175819422,49.2048916807319,45.965897534629555,42.724279501253534,39.497435082638034,28.638941566176456,27.83669433040088,27.54773210551783,27.25876988063478,24.195103017605156,26.459925043659755,26.969807655751723,26.969807655751723,26.969807655751723,26.969807655751723,24.725047241838066,24.195103017605152,17.69776032075971,17.69776032075971,14.968586622150111
