model,scenario,region,variable,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
GLUCOSE,Baseline,World,Emissions|CO2|Industrial Processes,Mt CO2e/yr,1104.1238937563085,1113.901542663801,1123.6788984139669,1133.4551391727002,1142.1335129781007,1151.905471013125,1161.6772409535067,1171.4480065687749,1181.2186734983507,1190.9883314723832,1200.7579277006444,1209.4089254745704,1219.174759184145,1228.9397059688254,1238.7046543847105,1248.4687414464136,1258.2328308791139,1266.862918550463,1276.6232368957608,1286.3831886671476,1296.143282271564,1305.9030538140469,1315.662019906295,1325.4207030634595,1334.0284755234932,1343.7841428349643,1353.5400600564317,1363.2952427850114,1373.0506752249266,1382.8053865108693,1392.5603649721647,1401.147368642567,1410.8996700315656,1420.6513417671301,1430.4032875106384,1440.1546140754288,1449.9062108389703,1458.4768471960792,1468.2260712398356,1477.9746680730277,1487.723643346657,1487.723643346657,1487.723643346657,1487.723643346657,1487.723643346657,1487.723643346657,1487.7236433466571,1487.723643346657,1487.7236433466571,1487.7236433466571,1487.723643346657
GLUCOSE,Baseline,World,Final Energy|Industry|Solids|Coal,EJ/yr,8953.051194166117,9035.904606777829,9118.736240471271,9201.546701544356,9284.337150632626,9367.108143060641,9449.863689172544,9532.59849118718,9615.320662575772,9698.023977286332,9780.716374330474,9863.393312518636,9946.05680799723,10028.70771321624,10111.347280558415,10193.975910648449,10276.594965668233,10359.202185441523,10441.79994592666,10524.386352678579,10606.968065916131,10689.541478718796,10772.102586540395,10854.658819843728,10937.206967073882,11019.748980596518,11102.286322548374,11184.813096156402,11267.338276296787,11349.85324580231,11432.367382159122,11514.874664293531,11597.375943291321,11679.873649383746,11762.365711247954,11844.854712870852,11927.34115152234,12009.819104558277,12092.29816751689,12174.768955424168,12257.241106867968,12257.244404227395,12257.244398574436,12257.244392638835,12257.244386406443,12257.24437986244,12257.244377677776,12257.244377677776,12257.244377677776,12257.244377677776,12257.24437767777
GLUCOSE,Baseline,World,Final Energy|Other Sector|Solids|Coal,EJ/yr,1850.3712884976806,1873.611744496048,1896.971382320048,1920.509792882496,1944.167385270579,1971.5978668197533,2000.7141385851328,2030.0091830889614,2059.423409418421,2089.0164084863313,2118.728589379874,2134.5857150787147,2150.143141465412,2165.505065399991,2180.5365708266345,2195.340318691211,2209.6859488074974,2223.768260009369,2237.4489455156786,2250.827105798831,2263.7624736954212,2269.7272906313,2275.1100976107755,2280.074148434301,2284.4657418695115,2288.292207581973,2291.525289157844,2294.135317375627,2295.997308215328,2297.3258050289064,2297.83920834855,2293.9589212066485,2289.2834426457875,2283.832604121917,2277.5050667221144,2270.256995795927,2262.04236443888,2252.8724361941213,2242.4834527035023,2231.128977223027,2218.599641652415,2192.6939786042244,2165.493032403625,2136.9320386648387,2106.9429954672696,2075.454500060932,2064.9423315477484,2064.9423315477484,2064.9423315477484,2064.9423315477484,2064.942331547748
GLUCOSE,Baseline,World,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,9.508450896,12.452841071999998,15.401425536000007,18.345815712,21.290205888,24.234596064,18.587979780854123,19.75893358387405,24.010520381596347,27.925335585991878,31.686122843383316,30.95322851369142,29.96394357077219,36.076821454327415,41.581061556159405,46.97602560000002,46.97602560000002,46.97602560000002,46.97602560000002,43.6205952,42.850044176393155,45.81037041741481,46.20547457639314,45.30331222552789,43.555529146703215,42.14150275544178,40.52898286847032,38.7173077725817,36.86157172210449,34.96060834435417,32.88469256163191,30.4880409674008,28.06087062033925,25.634546756484248,23.174060683532073,20.66437347428557,18.30121794312657,15.8361504032249,12.717411218323093,9.855462486500867,6.694229605563799,6.607013881298967,6.457746519073442,6.3838669979045175,6.224314163049788,5.928324294996887,5.796461725465214,5.796461725465196,5.7964617254651465,5.796461725465237,
GLUCOSE,Baseline,World,Final Energy|Solids|Coal,EJ/yr,10812.930933559799,10921.969192345874,11031.109048327316,11140.402310138852,11249.794741791202,11362.940605944392,11469.165807538533,11582.366607860022,11698.754592375792,11814.965721358652,11931.131086553729,12028.932256111046,12126.163893033416,12230.289600070559,12333.464912941206,12436.292254939659,12533.256940075726,12629.946471050891,12726.224917042337,12818.83405367741,12913.580583787949,13005.079139767517,13093.418158727563,13180.036280503553,13265.228238090092,13350.182690933936,13434.340594574687,13517.665721304611,13600.197156234217,13682.139659175571,13763.0912830693,13839.321626467578,13914.720256557448,13989.340800262149,14063.0448386536,14135.776082141067,14207.684733904343,14278.527691155627,14347.499031438714,14415.7533951337,14482.534978125945,14456.54539671292,14429.195177497131,14400.560298301578,14370.411696036765,14338.627204218365,14327.98317095099,14327.983170950984,14327.983170950989,14327.983170950989,14322.186709225518
GLUCOSE,Baseline,World,Primary Energy|Biomass,EJ/yr,36.42467432123826,36.54698845470692,36.669929840142096,36.706717973645866,36.583225973085476,36.161942747398186,35.610642508219506,35.058409080119674,34.50555352607245,33.951764783104075,33.397353914188315,33.08480851729998,32.77540742234603,32.468685718475705,32.16543060765896,31.865193293122378,31.57652795040863,31.291253496686412,31.01019270779517,30.732934141747155,30.46032114177539,30.29188744706615,30.136325542009878,29.97839140701061,29.833542977086516,29.694623597112784,29.56192971987767,29.43577262067186,29.32422919147047,29.211831443618784,29.114750886487922,29.09541934521116,29.084430572220825,29.08189064176062,29.08854861686698,29.104864389740428,29.131320852663126,29.16811397032465,29.224148315924182,29.283860659024764,29.355899072637786,29.62768890709032,29.913068233265424,30.212716528143048,30.527347235370822,30.857709478472945,30.967998125963646,30.96799812596366,30.96799812596373,30.967998125963675,30.96799812596366
GLUCOSE,Baseline,World,Primary Energy|Coal,EJ/yr,139.2476,140.3512,141.4548,142.55829999999997,142.5583,142.55830000000003,142.55829999999997,141.5583,140.5583,139.5583,140.49771423509537,145.92630517592977,148.33951269401888,155.44686098614318,163.56643672874497,175.08881222529078,184.90364830125569,192.60207094551004,200.42858787261463,215.27929201965568,227.10628384422955,236.5398215874164,243.33383460142213,250.71152010731504,258.036327156761,263.6982396476464,269.04753145688505,274.99943823124715,280.86062748048994,285.705598014772,290.3013236171475,294.1827330570752,297.9718961334998,301.6543230129328,304.15463701576635,305.36751063888784,306.3761218010498,306.92085029016073,307.27179565949183,307.10562636634546,306.9440038419238,309.62676942563337,311.44722022360037,311.6313009740429,311.4656352007803,311.2203862866864,311.1535949242292,311.1535949242292,311.15384037298145,311.1538403729813,259.9999999999997
GLUCOSE,Baseline,World,Primary Energy|Gas,EJ/yr,108.03539999999998,109.71700000000001,111.3986,113.0802,114.7618,116.4433,116.4433,116.4433,116.4433,116.4433,116.4433,116.4433,116.4433,113.4433,110.4433,107.4433,104.4433,101.4433,98.44329999999998,95.4433,92.4433,89.4433,86.4433,83.4433,80.4433,80.13147854734757,78.61768988756855,73.18858662126601,68.4433,65.4433,62.4433,59.44330000000001,56.44330000000002,53.4433,50.4433,47.44330000000001,44.4433,41.80362257891699,39.79128952097757,38.15701580492103,36.23868032005978,33.84141349414156,32.4433,32.4433,32.4433,32.44330000000001,32.4433,32.443299999999994,32.4433,32.4433,61.549102721024774
GLUCOSE,Baseline,World,Primary Energy|Geothermal,EJ/yr,0.649389312,0.6266833920000001,0.60170688,0.5842485504,0.5613912576000001,0.5408550144,0.5179977216,0.4928698368,0.4700125439999999,0.4471552512,0.42661900799999997,0.40376171520000004,0.3786338304,0.35577653760000005,0.3329192448,0.310061952,0.28952570879999995,0.264397824,1.1374656767999998,1.1146083839999994,1.2356561664,1.2940356095999999,1.3501444608000002,1.4108449536000005,1.4692243968,1.543497984,1.6340189184000002,1.7245398528000004,1.8150607872,1.9055817216000004,1.996102656,2.1330445824,2.2699865087999997,2.4069284352,2.5438703616,2.6808122880000003,2.7899016192,2.8989909504000004,3.430187240243728,3.82309505816791,3.932184389367905,3.932184389367912,3.9321843893679063,3.932184389367883,3.932184389367912,3.932184389367912,3.932184389367912,3.932184389367912,3.932184389367912,3.932184389367912,14.034548737486839
GLUCOSE,Baseline,World,Primary Energy|Hydro,EJ/yr,12.561203813760002,12.6517229064576,12.734546584435199,12.812557074105596,12.8842950281472,12.94976044656,13.006254680294399,13.059211495680001,12.8800844928,12.702379132799999,12.523252129920001,12.344125127040002,13.695450433665275,15.578731969137564,16.391051870314406,17.024732752339045,18.978070069459047,20.858502622693912,21.61181506176,22.00561013952,22.399405217280002,22.682312150400005,22.963797440640008,23.243861088000003,23.52534637824,23.806831668480005,24.03571617216,24.26602231872,24.496328465279998,24.725212968959998,24.954097472640004,25.155970761600017,25.35784405056,25.559717339519988,25.76301227136,25.96488556032001,26.09994163392001,26.234997707520012,26.37005378112,26.50510985472001,26.641587571200013,26.641587571200013,26.641587571200013,26.641587571200013,26.641587571200013,26.641587571200017,26.641587571200013,26.641587571199974,26.641587571200013,26.641587571200013,26.641587571200013
